ISRS;RISCHI;ISRS-RISCHI SPECIFICI
LRSTD;Risposte;LRSTD - RISPOSTE A SEGUITO RICHIESTA DI DOC. PER ACCESSO IMP.REMI
AVAR;DIVIETO;AVAR - DIVIETO/RIPRISTINO ACCESSO IMP. REMI
AVAR;RIPRISTINO;AVAR - DIVIETO/RIPRISTINO ACCESSO IMP. REMI
COMM;COAR;COAR - AVVIO REMI
COMM;CONF;CONF - VERBALE VERIFICA ATTIVAZIONE
COMM;COCO;COCO - COMUNICAZIONI: VARIE
COMM;COCP;COCP - CAMBIO/AGGIORN. PRESS.
COMM;COCQ;COCQ - CAMBIO PORTATE
COMM;COVA;COVA - INTERNE SRG VARIE
COMM;COSC;COSC - DA SRG A CLIENTE
COMM;COCS;COCS - DA CLIENTE A SRG
COMM;COSS;COSS - DA SRG A SHIPPER
COMM;COSH;COSH - DA SHIPPER A SRG
COMM;COTL;COTL - TELELETTURA
COMM;COTA;COTA - TELEALLARME
COMM;CODQ;CODQ - DATI QUALITA'
COMM;COGC;COGC - GASCROMATOGRAFO
COMM;COUM;COUM - UFFICIO METRICO
COMM;COLE;COLE - CONTENZIOSI / PRATICHE LEGALI
COMM;VEMA;VEMA - MAIL PER VERIFICA
COMM;CORACO;CORACO - Invio rapporto controllo VERIMP al Titolare
COMM;COMORG;COMORG - Condivisione organizzazione VERIMP con Titolare
COMM;CFOR;CFOR - COMUNICAZIONI CON I FORNITORI
COMM;COISRS;COISRS - Comunicazioni mail per ISRS
APIM;APIM-PV;APIM-PV - LETTERA DI PRESA VISIONE
APIM;APIM-VI;APIM-VI - RAPPORTO DI VERIFICA IMPIANTO
APIM;APIM-CF;APIM-CF - RICHIESTA / COMUNICAZIONI DEL CLIENTE FINALE
APIM;APIM-DP;APIM-DP - COMUNICAZIONE DEI DATI DI PROGETTO DEL CF
APIM;APIM-DC;APIM-DC - DICHIARAZIONE DI CONFORMITA'
APIM;APIM-EP;APIM-EP - ELENCO APPARATI
APIM;APIM-SC;APIM-SC - SCHEMA IMPIANTO
APIM;APIM-XX;APIM-XX - ALTRI DOC. NON RIENTRANTI NELLE CATEGORIE PREC.
APRI;APRI-PV;APRI-PV - LETTERA DI PRESA VISIONE
APRI;APRI-VI;APRI-VI - RAPPORTO DI VERIFICA IMPIANTO
APRI;APRI-CF;APRI-CF - RICHIESTA / COMUNICAZIONI DEL CLIENTE FINALE
APRI;APRI-DP;APRI-DP - COMUNICAZIONE DEI DATI DI PROGETTO DEL CF
APRI;APRI-DC;APRI-DC - DICHIARAZIONE DI CONFORMITA'
APRI;APRI-EP;APRI-EP - ELENCO APPARATI
APRI;APRI-SC;APRI-SC - SCHEMA IMPIANTO
APRI;APRI-XX;APRI-XX - ALTRI DOC. NON RIENTRANTI NELLE CATEGORIE PREC.
MODIMP;MOGE;MOGE - MODIFICA GENERICA
MODIMP;MORG;COMORG - Condivisione organizzazione VERIMP con Titolare
MODIMP;MOMI;MOMI - MODIFICA MISURA
MODIMP;MOPM;MOPM - MODIFICA PRESSIONE DI MISURA
MODIMP;MOCO;MOCO - MODIFICA  CONTATORE
MODIMP;MODI;MODIMP - MODIFICA IMPIANTI
MODIMP;TEMA;TEMA - MISURA AUTOMATIZZATA
METRO;VMPR;VMPR - VERIFICA METRICA PRIMA IN FABBRICA
METRO;VMPL;VMPL - VERIFICA METRICA PRIMA SUL POSTO
METRO;VMPE;VMPE - VERIFICA METRICA PERIODICA
METRO;VCPO;VCPO - COLLAUDO DI POSA IN OPERA
METRO;VUPM;VUPM - UFF. PROVINCIALE METRICO VARIE
METRO;UPMR;UPMR - UFF. PROVINCIALE METRICO RIPROGRAMMAZIONI
VERB;FTCH;FTCH - INVERSIONE CONTATORI
VERB;FTGU;FTGU - GUASTO CONTATORE
VERB;FTEE;FTEE - NUOVA INSTALL. O SOSTITUZIONE CONTATORE
VERB;FTTA;FTTA - VERIFICA CONTATORE CON FT IN SERIE
VERB;FECH;FECH - CAMBIO FLANGIA O TRONCO VENT.
VERB;FEEE;FEEE - NUOVA INSTALLAZIONE TRONCO VENTURIMETRICO
VERB;CEDI;CEDI - CERTIFICATO DI CALIB. DIAFRAMMA E TRONCO
VERB;FETA;FETA - VERIFICA CON MULTIVARIABILE
VERB;FRGU;FRGU - GUASTO REGISTRATORI / DATA LOGGER
VERB;FREE;FREE - NUOVA INSTALL. O SOSTITUZIONE REGISTRATORI / DATA LOGGER
VERB;FRTA;FRTA - TARATURA REGISTRATORI /DATA LOGGER
VERB;TREE;TREE - SOSTITUZIONE TRASMETTITORI
VERB;TRTA;TRTA - TARATURA TRASMETTITORI (ANCHE FR)
VERB;FFGU;FFGU - FLOW-COMPUTER GUASTO
VERB;FFME;FFME - MANCANZA ENERGIA ELETTRICA FF
VERB;TLGU;TLGU - GUASTO TELELETTURA
VERB;FFEE;FFEE - NUOVA INSTALL. O SOSTITUZIONE FF
VERB;FFET;FFET - NUOVA INSTALL. TELEALLARME
VERB;FFPR;FFPR - PROGRAMMAZIONE FF
VERB;FFAN;FFAN - PROGR. SOLO ANALISI FF
VERB;PELA;PELA - POST ELABORAZIONE
VERB;AGPE;AGPE - AGGIORNAMENTO ANALISI PER POST ELABORAZIONE
VERB;FFNE1;FFNE1 - PROGR. SOLO ANALISI - NON EFFETTUATA, ASSENZA CLIENTE
VERB;FFNE2;FFNE2 - PROGR. SOLO ANALISI - NON EFFETTUATA, ASSENZA CLIENTE 2ï¿½ TENTATIVO
VERB;FFNE3;FFNE3 - PROGR. SOLO ANALISI - NON EFFETTUATA, RIFIUTO C.F. CON FIRMA
VERB;FFNE4;FFNE4 - PROGR. SOLO ANALISI - NON EFFETTUATA, RIFIUTO C.F. SENZA FIRMA
VERB;SDIVO;SDIVO - SCHEDA D'INTERVENTO VOLUMETRICA
VERB;SDIVE;SDIVE - SCHEDA D'INTERVENTO VENTURIMETRICA
VERB;VINT;VINT - VERBALE DI INTERVENTO DA PORTALE MISURA
VERB;COST;COST - CONTROLLO STRUMENTAZIONE
VERB;VERI;CONF - VERBALE VERIFICA ATTIVAZIONE
M3;M3RI;M3RI - MISURA DA APPARATI RISERVA
M3;M3FO;M3FO - FORFAIT
M3;M3CO;M3CO - CONGUAGLI
M3;M3TA;M3TA - VERIFICA APPARATI MISURA
M3;CONG;M3CO - CONGUAGLI
VERBNM;RMFP;RMFP - CHIUSURA REMI STAGIONALE/TEMPORANEA/DEFINITIVA
VERBNM;RMIP;RMIP - RIAPERTURA REMI A SEGUITO DI RMFP
VERBNM;RMPR;RMPR - CABINA PROVVISORIA
VERBNM;RMEE;RMEE - APERTURA NUOVA CABINA REMI
VERBNM;RMCB;RMCB - INS. / DISINS. CARRO BOMBOLAIO
VERBNM;RMCC;RMCC - MANUTENZIONE IMPIANTO REMI
VERBNM;RMCH;RMCH - SOSTITUZIONE APPARATI VARI
VERBNM;RMCP;RMCP - CAMBIO PRESSIONE DI MISURA
VERBNM;RMLS;RMLS - LAVORI SNAM
VERBNM;RMTA;RMTA - MANUTENZIONE RIDUTTORI
FOTO;FOTO1;FOTO1 - PUNTO DI CONSEGNA TRASPORTATORE
FOTO;FOTO2;FOTO2 - PANORAMICA CABINA REMI
FOTO;FOTO3;FOTO3 - TRATTO DI MONTE
FOTO;FOTO4;FOTO4 - FILTRAGGIO, PRERISCALDO, REGOLAZIONE
FOTO;FOTO5;FOTO5 - PIPING MISURA + ORGANO PRIMARIO
FOTO;FOTO6;FOTO6 - STRUMENTAZIONE
FOTO;FOTO7;FOTO7 - MISURA AUTOMATIZZATA
FOTO;FOTO8;FOTO8 - LOCALE CALDAIA + ODORIZZANTE
FOTO;FOTO9;FOTO9 - VARIE
ALTRO;VVDM;VVDM - VERIFICA VERBALI DI MISURA
ALTRO;CPIS;CPIS - CERT. PREVENZIONE INCENDI O SOSTITUTIVI
ALTRO;UTIF;UTIF - UFF. TECNICO DI FINANZA-DOC. DOGANALI
ALTRO;VARI;COCO - COMUNICAZIONI: VARIE
ALTRO;ORDI;ORDI - ORDINATIVI / PREVENTIVI / FATTURE
ALTRO;CONT;CONT - CONTRATTI
ALTRO;SPEC;SPEC - SPECIFICHE
ALTRO;RACE;RACE - RAPPORTI CENTRALI
OLDOC;VERB;VERB - VECCHI DOC. NON CLASSIFICATI (METER READING)
OLDOC;ALTR;ALTR - VECCHI DOC. NON CLASSIFICATI (METERING)
OLDOC;GECR;GECR - COMUNICAZIONI  DA/PER GECRE
OLDOC;VCVA;VCVA - VERBALE CONSTATAZIONE VERIFICA APPARECCHIATURE
OLDOC;ORAL ;ORAL  - PUNTO DI RICONSEGNA (ALLACCIAMENTO)
OLDOC;DIPM;DIPM - DICHIARAZIONI PRESSIONE MASSIMA
OLDOC;PCON;PCON - PUNTO DI RICONSEGNA (PLANIMETRIE)
OLDOC;FFRC;FFRC - FLOW-COMP RATIFICA CONTRIBUTO
OLDOC;VEIM;VEIM - SCHEDA VERIFICA IMPIANTO
LABO;ACCUGC;ACCUGC - Certificato Accuratezza GC
LABO;GASINT;GASINT - Rapporti di prova gas interni
LABO;FUMI;FUMI - Rapporti di prova analisi dei fumi
LABO;ANAGAS;ANAGAS - Rapporti di prova analisi gas
LABO;CERTMI;CERTMI -  Certificati di taratura miscele
LABO;CERTSTRU;CERTSTRU - Certificati di taratura strumentazione
LABO;MANUPROC;MANUPROC - Manuali e procedure
LABO;ODOR;ODOR - Bollettino di prova tasso odorizzazione
